userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemLDh7R,0.0006104969652369618) (itemWngsI,0.0005282505881041288) (itemVZJC8,0.0004587386501953006) (itemKe2Er,0.00040270842146128416) (iteme1aEV,0.00036529687349684536) (itemPzRe5,0.0002741781354416162) (itemvjUdv,0.00026935897767543793) (itemwinns,0.00021738107898272574) (item6TcLl,0.00019649896421469748)* (itemsF3jV,0.00017812549776863307) (item0rrNz,0.00016997924831230193) (itemTAGOA,0.0001650314370635897) (itemVARpF,0.00016324588796123862) (itemx52zm,0.00015398529649246484)* (itemwrPNe,0.00015181303024291992) (item4p3W3,0.00014177516277413815) (itemdqVVX,0.00012627564137801528) (itemllUul,0.00011374056339263916) (itemJyBn3,0.00011074786743847653)* (itemVHyMp,0.00010827100049937144)
userCIwg7: (itemY6045,0.0003665252006612718) (itemuaFxY,0.0002780737413559109) (itemKHT0l,0.0002775311004370451) (itemllAnb,0.0002666902728378773) (itemllUul,0.00026544221327640116) (item23scr,0.0002654304262250662)* (item0MxmA,0.00024243553343694657) (itemMpeEL,0.0002297218015883118) (item618n3,0.0002156390401069075) (itemFoRzs,0.0002053212811006233) (itema506d,0.0001893209118861705) (itemDF5f3,0.0001492521696491167) (itemFjQ4M,0.00012537729344330728) (item178I3,0.00010746462066890672) (item52xJ8,0.00010432228009449318) (itemjIyZN,0.00010112022573594004)* (itemwBj8x,7.403800555039197e-05) (itemdqVVX,7.057679613353685e-05)* (itemHrihE,6.882309389766306e-05) (itemeROTS,6.706293788738549e-05)
userHL2kL: (itemrDLmp,0.0004864064685534686) (itemVARpF,0.0004646207089535892) (itemBmrIx,0.0004322753520682454) (itemfL8PL,0.00039336190093308687) (itemgRlgs,0.00035816634772345424) (itemKHT0l,0.00033156725112348795) (item9lgJn,0.0003017120179720223) (itemg6NgV,0.00029989329050295055) (itemJyBn3,0.0002913235512096435) (item23scr,0.00027709960704669356) (itemd7GN3,0.00026354307192377746) (itemUFxkv,0.0002438727970002219) (itemEB2ZL,0.0002370708534726873)* (itemWngsI,0.00019689675536938012) (item52xJ8,0.0001904694363474846) (itemAzjPR,0.00018478867423254997) (itemvpxYm,0.00016329488425981253) (itemlN5jA,0.0001623295247554779) (itemFEgKI,0.00016016987501643598) (item96Uu6,0.00015757008804939687)
userXPmRz: (itemDfuZl,0.00039537157863378525) (itemSW5s8,0.00033386918948963284) (item6TcLl,0.0003248473512940109) (itemDYrOS,0.00031397416023537517) (item9DjWX,0.00028999592177569866) (itemAj7Pj,0.0002843790571205318) (itemxwCH9,0.0002692151756491512) (itemzexIV,0.00023775645240675658) (item52xJ8,0.00022545020328834653) (itemehZbz,0.00022074318258091807)* (itemqF1uc,0.00022067139798309654) (item64Mnl,0.0002115884708473459) (itemTAGOA,0.00021052465308457613)* (itemLPkI9,0.0002080228296108544) (itemvQ7sQ,0.00020286427752580494) (item23scr,0.00018117972649633884) (itemO64Fe,0.00017674130504019558) (itemCmV8W,0.00017320663027931005) (itemBmrIx,0.00017278366431128234) (itemyWo9i,0.00016916811000555754)
userfl0kv: (itemjeN5W,0.0003799302503466606)* (itemYgdNj,0.0003274796763435006) (itemEzeNr,0.0002914266660809517)* (itemnO4tX,0.000286227063043043) (itemtXKxm,0.00028001784812659025) (item4YMYG,0.0002125853643519804) (itemd9ChJ,0.0002006820432143286) (item52xJ8,0.00018159343744628131) (item1PK0V,0.0001631852355785668) (itemvQ7sQ,0.00016068876720964909) (itemAlGQe,0.00013513436715584248) (itemrDLmp,0.00012248964048922062) (item0QA86,0.00011177077249158174) (item64Mnl,0.00010307113552698866) (item618n3,9.490997035754845e-05) (itemABTMM,9.383130964124575e-05) (itemiXwHJ,9.210225834976882e-05) (itemV1Vwk,7.034710142761469e-05) (itemwAkpa,6.651222793152556e-05) (itemMpeEL,6.287236465141177e-05)
userafRuQ: (itemgRlgs,0.0005457429215312004) (itemQStwf,0.00048809172585606575) (itemZIbqG,0.0004243285220582038) (itemPn5yf,0.00042194098932668567) (itemyWo9i,0.00038075377233326435) (item1PK0V,0.00034411041997373104) (itemwrPNe,0.0003418648266233504) (itemKe2Er,0.00031227534054778516)* (item9DjWX,0.00029871100559830666) (itemmt9Zs,0.00027486751787364483) (item7gr06,0.0002480282564647496) (itemgoCpP,0.00022884922509547323) (item6hTeJ,0.00022829392401035875)* (itemCmV8W,0.00022610441374126822) (itemXLYXV,0.0002028139278991148) (itemRNQTR,0.00019733076624106616) (itemsaQmG,0.00017623553867451847) (itemFoRzs,0.0001755404518917203)* (itemwAkpa,0.00016044091898947954) (itemDfuZl,0.00011807707051048055)*
user73wIM: (itemjeN5W,0.0005209685768932104) (itemKckEp,0.00046849396312609315) (itemRNQTR,0.00046568119432777166)* (item9M3lc,0.0003585666709113866)* (item84cQ6,0.00032545829890295863) (itemSnsYW,0.00031396979466080666) (itemKHT0l,0.00027638295432552695) (itemg6NgV,0.00027612995472736657) (itemcVs96,0.0002758039627224207) (itemcvY2p,0.00026536115910857916)* (itemUFxkv,0.00025240317336283624)* (itemGgwft,0.00024616075097583234)* (itemBkBCG,0.00023730527027510107) (itemsB45O,0.00023382068320643157)* (itempLAQY,0.00022279414406511933)* (itemYgdNj,0.0001984673726838082) (itemGAqYy,0.0001683333539403975) (item7gr06,0.00015108942170627415) (itemYOYte,0.0001489081041654572) (itemSrPKx,0.00014348192780744284)
userU8XiP: (itemVZJC8,0.0005769518902525306) (itemllAnb,0.0004823704366572201) (itemxwCH9,0.0004452101420611143)* (itemAzjPR,0.0003473972901701927)* (itemXLYXV,0.00029404539964161813) (itemABTMM,0.0002697426243685186) (itemsaQmG,0.00026155204977840185) (itemRNQTR,0.0002390010340604931) (itemcVs96,0.00023053416225593537) (itemva2ph,0.00021555714192800224) (itemY6045,0.0002088490000460297) (itemvQ7sQ,0.00020622077863663435) (itemnvCLA,0.00019961924408562481)* (itemTuHK9,0.00017964778817258775) (itemehZbz,0.00015883044397924095)* (itemGgwft,0.00011845253175124526) (itemVARpF,0.0001049000711645931)* (itemFoRzs,8.190877269953489e-05) (itemDF5f3,7.887578976806253e-05) (item03CQ6,7.649316103197634e-05)
user5YzJs: (item84cQ6,0.0005716715240851045) (itemDfuZl,0.0004905386012978852)* (iteme5OvS,0.00042401935206726193) (itemcWumf,0.00035344541538506746) (itemVARpF,0.00027390109607949853) (itemfL8PL,0.0002626400673761964) (itemYOYte,0.0002623484469950199)* (itemPOi9Y,0.00024313252652063966) (itemvn3OC,0.00023968092864379287) (itemmMX2p,0.00018196628661826253) (itemySRfm,0.00014091517368797213) (item0rrNz,0.00013781816232949495)* (itemvQ7sQ,0.0001372232218272984) (itemv7Clw,0.00013244262663647532) (item03CQ6,0.0001083349488908425) (itemSEVUh,0.00010598954395391047) (itemvHkzH,8.12281941762194e-05) (itemVda4U,7.894031296018511e-05) (itemsF3jV,7.498967170249671e-05) (itemCmV8W,7.493598241126165e-05)
user4FmZm: (itemVZJC8,0.0007673513609915972) (itemRNQTR,0.0005647953366860747)* (item64Mnl,0.0005447411094792187)* (itemWngsI,0.00041309770313091576) (itemPzRe5,0.0003995016450062394)* (itemSeyqb,0.0003876268456224352) (itemwrPNe,0.00037348794285207987) (itemFsCNW,0.00036298713530413806)* (item0QA86,0.00033088901545852423) (itemSW5s8,0.000294609519187361)* (itemr7q87,0.0002684679056983441) (itemGgwft,0.0002574475947767496) (itemlHCkK,0.0002487246529199183)* (itemIrWce,0.00022088471450842917) (itemkHjKP,0.00021475125686265528) (itemjeN5W,0.00020971285994164646) (itemvpxYm,0.00020488430163823068) (itemsaQmG,0.00020377627515699714) (itemg6NgV,0.00019734112720470876) (item52xJ8,0.00018694138270802796)
userTyJoH: (itemtXKxm,0.00027392158517614007)* (itemkHjKP,0.00020992137433495373)* (itemjeN5W,0.00020932135521434247) (item9muy9,0.00020738420425914228)* (itemSnsYW,0.00016348151257261634) (item0VuxA,0.00015970258391462266) (itemYOYte,0.0001548237050883472) (itemVARpF,0.00014180972357280552)* (itemUyXau,0.00012803160643670708)* (itemXxPjl,0.0001192048512166366) (itemGAqYy,0.00011797878687502816) (itemvQ7sQ,0.00011518925748532638) (itemVHyMp,9.946034697350115e-05)* (itemlAKEf,9.209942072629929e-05)* (itemeROTS,8.920860273065045e-05)* (itemiCowm,8.78555147210136e-05)* (itemh9nHh,8.066795999184251e-05) (item96Uu6,8.024474664125592e-05) (itemr7q87,7.77320601628162e-05) (itemKHT0l,7.349380757659674e-05)
usera7eUd: (item4p3W3,0.0004299648862797767) (itemehZbz,0.00036245249793864787) (itemZCI04,0.0003474405384622514) (itemBuZOt,0.0003164234512951225) (itemJyBn3,0.0003075733548030257) (itemTuHK9,0.00029670126968994737) (itemdC6Wf,0.0002837169449776411) (itemeROTS,0.0002746913814917207) (item9M3lc,0.0002613418037071824) (itemSnsYW,0.0002576581318862736) (itemPzRe5,0.0002467977465130389) (itemVda4U,0.00022093660663813353) (itemWeaex,0.00020846074039582163)* (itemsaQmG,0.00020326304365880787) (itemUo6cI,0.00017070263857021928) (itemwrPNe,0.00015571046969853342)* (itemmbGoj,0.00015220970090012997)* (item1PK0V,0.0001486761320848018) (itemfL8PL,0.0001407113450113684) (item0MxmA,0.00013989952276460826)
userKFtUF: (itemyo43o,0.0008121473947539926) (itemmt9Zs,0.000587254180572927) (itemdC6Wf,0.0004295791150070727) (item4p3W3,0.0004243675502948463) (item178I3,0.00039640566683374345) (itemlAKEf,0.00039114506216719747) (itembHmsT,0.00036942504812031984) (itemlHCkK,0.0003557895834092051) (itemwrPNe,0.00035244954051449895) (itemakzor,0.00030753001919947565) (itemAzjPR,0.00025142141385003924) (itemnO4tX,0.00021381955593824387) (itemqth87,0.00018650427227839828) (itemv7Clw,0.00017624252359382808) (itemMzrpc,0.00014801829820498824)* (itemxCvQp,0.00012548545782919973) (itemAlGQe,0.00011075240763602778) (itemnvCLA,0.00010512637527426705) (item03CQ6,9.743538248585537e-05) (itempLAQY,9.709966252557933e-05)
uservcNUX: (itembuWyf,0.0003497519064694643) (itemwAkpa,0.0003377437824383378) (itemgoCpP,0.0003126427764073014) (itemr1zoc,0.0003018054412677884)* (itemOCA2H,0.00029856114997528493) (item23scr,0.00024960748851299286) (item1PK0V,0.0002341291110496968) (itemZIbqG,0.00023295229766517878) (itema506d,0.00020030830637551844) (itemSrPKx,0.0001894863962661475) (itemSW5s8,0.00017436518101021647) (itemMNxUT,0.00017256662249565125) (itemf6vR5,0.00017023610416799784)* (itemCVpf3,0.00016903708456084132) (item9muy9,0.00016672327183187008) (itemVda4U,0.00016425228386651725)* (itemdC6Wf,0.0001600471296114847) (itemFoRzs,0.0001459113700548187) (item9lgJn,0.00013247583410702646) (item7gr06,0.00013230567856226116)
userhxp30: (itemguPDr,0.0004330290830694139)* (itemlepVl,0.0003918864531442523) (itemJyBn3,0.00036376924254000187) (itemJaOdU,0.0003326453734189272) (itemAlGQe,0.00032307012588717043) (itemtXKxm,0.000282621243968606) (itemAj7Pj,0.00028230692259967327) (itemuz9u2,0.00026181506109423935)* (item0MxmA,0.00025956163881346583) (itemPn5yf,0.0002493661013431847) (itemllUul,0.00023590412456542253) (item4FB6e,0.00023262457398232073) (item96Uu6,0.00021250793361105025)* (itemf6vR5,0.0002070542541332543) (itemEZob3,0.00018709230062086135) (itemcAUzH,0.0001655586384003982) (itemexwfY,0.00012674948084168136) (itemhOGIE,0.00012519906158559024) (itemqD4yX,0.00012509699445217848) (itemEB2ZL,0.00011585258471313864)
userkfbeV: (item03CQ6,0.000360135396476835) (itemJyBn3,0.00035186612512916327) (itemdoXAn,0.00033674368751235306) (itemZCI04,0.00033348490251228213) (itemsB45O,0.0003289284941274673) (itemCVpf3,0.0003169379779137671) (itemmMX2p,0.0002796307671815157) (itemH8gzP,0.0002752682485152036)* (itempLAQY,0.00025071518030017614)* (item6hTeJ,0.00022450965479947627) (item23scr,0.00019916868768632412)* (item162CY,0.00018952321261167526) (itemAlGQe,0.00017532963829580694) (itemPOi9Y,0.00015926745254546404) (itemaTHnd,0.00013632720219902694) (item52xJ8,0.0001344046468148008) (itemjeN5W,0.0001271475339308381) (itemLPkI9,0.00012323010014370084) (itemYp8lv,0.00010811147512868047) (itemZIbqG,0.00010098507482325658)*
userOmWEg: (itemFzVAJ,0.0004455450107343495) (itempLAQY,0.0003425816830713302) (itemmt9Zs,0.00033962365705519915)* (item0rrNz,0.00028513275901786983) (itemBkBCG,0.00024540285812690854) (itemkHjKP,0.00023916382633615285) (itemVda4U,0.0002383521932642907) (itemJyBn3,0.00021287312847562134) (itemvn3OC,0.00019127855193801224)* (itemzfaal,0.00018585502402856946) (item80q9y,0.0001785328349797055) (itemV1Vwk,0.00016477194731123745) (itemEB2ZL,0.00016067734395619482) (itemgEevH,0.0001577704824740067)* (item03CQ6,0.00015484952018596232) (itemPOi9Y,0.0001420269691152498) (itemxvrbY,0.0001376355648972094) (itemSrPKx,0.00012689168215729296) (itemcWumf,0.00012079798034392297) (item52xJ8,0.00010377416765550151)
userE8IrH: (itemtXKxm,0.0004998560762032866) (itemDYrOS,0.0004140534729231149) (item80q9y,0.0003723235859069973) (itemiCowm,0.00034953124122694135) (itemg6NgV,0.0003442103916313499) (itempGfZ6,0.00033135732519440353)* (item9muy9,0.00030569141381420195) (itempLAQY,0.0002742164069786668) (iteme5OvS,0.0002415888011455536) (itemFjQ4M,0.00023891236924100667) (itemPOi9Y,0.00023789977421984076) (items32yz,0.00022707771859131753)* (itemJaOdU,0.0002155398833565414) (itemSEVUh,0.00020414886239450425)* (itemwrPNe,0.00019354460528120399) (itemPn5yf,0.00019329131464473903) (itemx52zm,0.00019162968965247273) (itemVHyMp,0.00018583843484520912) (itemsF3jV,0.00018102736794389784) (itema506d,0.0001798792800400406)
userjnRT1: (itemguPDr,0.0004988423315808177) (itemgRlgs,0.00043074978748336434) (itemPzRe5,0.00033046535099856555) (itemvQ7sQ,0.0002884716377593577) (item52xJ8,0.0002745271776802838)* (itemkHjKP,0.00025804946199059486) (itempGfZ6,0.00024487782502546906) (itema506d,0.00023085623979568481) (itemBmrIx,0.00022322891163639724) (itemFEgKI,0.00021024062880314887) (itemSeyqb,0.00020333100110292435) (itemGgwft,0.00017479542293585837) (itemtXKxm,0.00012319578672759235) (item1PK0V,0.00011697073932737112)* (itemiXwHJ,0.00011611163790803403) (itemY6045,0.00010796374408528209) (itemAzjPR,0.00010399478924227878) (itemiCowm,9.870110807241872e-05) (item0QA86,9.307148138759658e-05) (itemnO4tX,8.509831241099164e-05)
userbhMwq: (itemxCvQp,0.0004988209111616015) (itemdjMTE,0.0003215088217984885) (itemrT9kO,0.00030128323123790324) (itemguPDr,0.0002982077421620488) (itemAzjPR,0.00026623098528943956) (item96Uu6,0.0002434488123981282) (itemyo43o,0.0002317058970220387) (item9M3lc,0.0001942978415172547) (itemN8AZu,0.00019389792578294873) (itemr1zoc,0.00018434703815728426) (itemyWo9i,0.00018317153444513679) (itemVHyMp,0.00017831144214142114)* (item9lgJn,0.00015669202548451722) (itemXLYXV,0.00014988718612585217) (itemcWumf,0.00014873397594783455) (itemiCowm,0.0001441295607946813) (itemiXwHJ,0.00013336862321011722) (itemEB2ZL,0.00013023565406911075) (itemcvY2p,0.00012498280557338148) (itemFEgKI,0.00011770323180826381)
userwXazR: (itemWeaex,0.0006552296108566225) (itemVZJC8,0.000484630698338151) (itemqD4yX,0.00038344523636624217) (itemH8gzP,0.0003150340635329485) (itemRNQTR,0.0003145340015180409) (itemoSaYE,0.0003137106541544199) (itemDAINx,0.00030954499379731715) (itembHmsT,0.0002893650089390576) (itemRKTJC,0.00028743979055434465) (itemakzor,0.0002584518806543201)* (item178I3,0.0002322368964087218) (item0amMQ,0.0002298126055393368)* (itemyo43o,0.00020460615633055568) (itemRy5SF,0.00019657801021821797) (itemSnsYW,0.00016076589236035943) (itemrT9kO,0.0001534182229079306) (itemxbm5F,0.00014691040269099176) (itemEZob3,0.00014424689288716763) (itemKe2Er,0.00014178153651300818) (itemy6Af3,0.00014067866140976548)
userfJqUh: (itemAzjPR,0.0005524019943550229) (item96Uu6,0.0003610417479649186)* (itemTAGOA,0.0003594542795326561) (itemuaFxY,0.0003211272705812007) (itemllAnb,0.00027971892268396914) (itemV1Vwk,0.0002639225567691028) (itemoSaYE,0.0002272908022860065)* (itemfL8PL,0.00022140232613310218) (itemlAKEf,0.00022064056247472763)* (itembuWyf,0.00021644985827151686) (itemvn3OC,0.0002037572266999632) (itemEwdGW,0.0001990235468838364) (item4FB6e,0.00019538792548701167)* (itemtXKxm,0.00018855632515624166) (itemdkR3x,0.00018644171359483153)* (itemmMX2p,0.00018092281243298203) (itemwrPNe,0.00017194227257277817) (itemnO4tX,0.0001693834929028526)* (itemDF5f3,0.00016340630827471614)* (item64Mnl,0.00015965005150064826)
userU5xwu: (item4FB6e,0.00042745290556922555)* (itemVZJC8,0.00030494751990772784)* (itemUiRdE,0.000295003701467067) (itemVARpF,0.00027581409085541964) (itemSEVUh,0.000270658521912992)* (itemUyXau,0.00023839145433157682)* (itemDF5f3,0.00023419948411174119) (itemgRlgs,0.00019813832477666438) (itemxwCH9,0.00016659885295666754) (itemiXwHJ,0.0001626030425541103)* (itemcAUzH,0.00015835629892535508) (itemsB45O,0.00015756966604385525) (itemwinns,0.00012704014079645276) (itemr7q87,0.00010879326146095991) (itemllUul,0.00010662473505362868) (itemf6vR5,7.264055602718145e-05)* (itemFsCNW,7.097871275618672e-05)* (itemyo43o,6.740047683706507e-05)* (itemvHkzH,5.9939258790109307e-05)* (itemYOYte,5.8521916798781604e-05)
userjOfN6: (itemVARpF,0.0003594036679714918)* (itemllUul,0.0003560559416655451) (itemFoRzs,0.00033456814708188176)* (itemkHjKP,0.00026177038671448827) (itemPzRe5,0.0002491343766450882) (itemmMX2p,0.0002447080914862454) (itemZIbqG,0.00024276121985167265)* (itemvQ7sQ,0.00022464057838078588) (itemiXwHJ,0.00019355581025592983) (item96Uu6,0.00018955732230097055) (itemBuZOt,0.0001780237362254411) (itemlAKEf,0.0001779574522515759) (itemcWumf,0.00015995645662769675)* (itemPn5yf,0.00015634828014299273) (itemSnsYW,0.00013837183360010386)* (itemxwCH9,0.0001311303785769269) (itemQJNS2,0.00012996270379517227) (itemg6NgV,0.00011969600745942444) (itemZCI04,0.00011922886915272102) (itemAj7Pj,0.00011376474139979109)
userrvaBl: (itemgoCpP,0.0005302778445184231) (itemYOYte,0.0004785392666235566)* (item9M3lc,0.0004254480008967221) (itemfL8PL,0.00041302485624328256) (itemsF3jV,0.0003148178802803159) (item64Mnl,0.00028853374533355236) (item1PK0V,0.0002682316699065268) (itemx52zm,0.00025990651920437813) (itemWeaex,0.00025090662529692054) (itemMNxUT,0.00022884292411617935) (itemwAkpa,0.00022726489987690002) (itemvHkzH,0.00021098233992233872) (itemvjUdv,0.00019567785784602165) (itemFjQ4M,0.00018095134873874485)* (item23scr,0.00018032279331237078)* (itemcWumf,0.0001775833370629698)* (item0rrNz,0.0001756926067173481) (itemdC6Wf,0.00017306164954788983)* (itemPOi9Y,0.00017254933482035995) (itemJyBn3,0.00016864400822669268)
