userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemvjUdv,0.00034011490060947835) (item9lgJn,0.00021770781313534826) (itemKe2Er,0.00021563415066339076) (itemO64Fe,0.0002056053199339658) (itemLDh7R,0.0001904934033518657) (item9M3lc,0.00017729536921251565) (itemvpxYm,0.00017605228640604764) (itemBmrIx,0.00017488955927547067) (item2FMEC,0.0001597611408215016)* (itemDYrOS,0.00014763110084459186) (itemdjMTE,0.00013051196583546698) (item0rrNz,0.00013023846258874983) (itemVARpF,0.00011825755791505799) (item4YMYG,0.00011578240810194984) (item84cQ6,0.0001127507202909328) (itemaPbf4,0.00011081963020842522) (itemVZJC8,9.710343147162348e-05) (itemmbGoj,9.410934580955654e-05) (itemxCvQp,9.09309892449528e-05) (itemwAkpa,8.15883104223758e-05)
userCIwg7: (itemllAnb,0.000494008359964937) (item6TcLl,0.0003239052603021264) (itemEwdGW,0.00030359369702637196) (itemFjQ4M,0.000283352768747136) (itemv7Clw,0.00021228900004643947) (itemMzrpc,0.00018901380826719105)* (itemFoRzs,0.00016591220628470182) (itemEZob3,0.0001425028603989631) (itemqF1uc,0.00013441944611258805) (itemTAGOA,0.000122175581054762) (itemdjMTE,0.00012132117990404367) (itemakzor,9.921845048666e-05)* (itemCmV8W,9.274693729821593e-05) (item23scr,8.77267520991154e-05)* (itemjmSae,8.608931966591626e-05) (itemDYrOS,8.002755930647254e-05) (itemwAkpa,6.765297439415008e-05) (itemDAINx,6.243973621167243e-05) (itemBkBCG,5.473843339132145e-05) (item6hTeJ,5.41784793313127e-05)
userHL2kL: (itempGfZ6,0.00034557448816485703) (itemwrPNe,0.00029732234543189406) (itemakzor,0.00029032252496108413) (itemfL8PL,0.00027155247516930103) (itemTAGOA,0.0002545276947785169) (item6hTeJ,0.00019545342365745455)* (itemWngsI,0.0001633294450584799) (itemyWo9i,0.0001394514401908964) (itemBkBCG,0.00013775173283647746) (itemlN5jA,0.00013664130528923124) (itemw0Hbk,0.00011847230780404061)* (itemjeN5W,0.00011016175267286599) (itemAzjPR,0.00010223792196484283) (itemVARpF,0.0001014450826914981) (itemvn3OC,0.00010086377733387053) (itemvpxYm,9.272656461689621e-05) (item0MxmA,7.238236139528453e-05) (itemwinns,7.154006016207859e-05) (itemvHkzH,6.817482062615454e-05) (item0VuxA,6.768813182134181e-05)*
userXPmRz: (itemlHCkK,0.0004250956990290433)* (itemLDh7R,0.0004152297624386847) (itemxvrbY,0.00035026937257498503) (itemzexIV,0.0003483827749732882) (itemxCvQp,0.00031984993256628513) (itemH8gzP,0.0002928536559920758) (itemSeyqb,0.00027942057931795716) (itemEzeNr,0.00026535638608038425)* (itemwinns,0.0002602182503324002)* (itemx52zm,0.0002472219057381153) (itemlN5jA,0.0002145898761227727) (itemcVs96,0.00020426444825716317)* (iteme1aEV,0.00019579145009629428)* (itemsF3jV,0.0001875496527645737) (itemdjMTE,0.00015382324636448175) (itemyWo9i,0.00015055204858072102) (itemO64Fe,0.00014958214887883514) (itemr7q87,0.00014169774658512324) (itemWngsI,0.00013756364933215082)* (item7XnWI,0.0001287996128667146)
userfl0kv: (items32yz,0.0006053269607946277) (itemx52zm,0.000574878416955471) (itemSnsYW,0.0004415219882503152) (itemCVpf3,0.00040353857912123203) (itema506d,0.0003391364007256925) (itemYOYte,0.0003032789390999824) (itemwBj8x,0.00029715572600252926) (itemDF5f3,0.0002890947798732668) (itemSeyqb,0.0002662380284164101) (itemWeaex,0.00023022359528113157) (itemUOpVk,0.00022122723748907447) (itemBuZOt,0.00021371658658608794) (itemtXKxm,0.00019990674627479166) (item80q9y,0.0001920571958180517)* (itemlepVl,0.00018652563448995352) (itemuz9u2,0.0001837823074311018) (itemPzRe5,0.00016962073277682066)* (itemexwfY,0.00016537646297365427) (itemDfuZl,0.0001522896927781403) (itemgoCpP,0.00014472988550551236)*
userafRuQ: (itemMzrpc,0.0004433766007423401)* (itemVARpF,0.00038427632534876466) (item7gr06,0.00035967055009678006) (itemv7Clw,0.00032866362016648054) (itemkHjKP,0.0003130810509901494)* (itembHmsT,0.00031251274049282074) (itemllAnb,0.00028758449479937553) (item7XnWI,0.00027887761825695634) (itemUiRdE,0.00025116815231740475) (itemDAINx,0.00023848431010264903) (item96Uu6,0.0001710614887997508) (itemABTMM,0.0001681360590737313)* (itemakzor,0.00014399665815290064) (item0amMQ,0.0001425446243956685) (itemRNQTR,0.00013987298007123172) (itemlAKEf,0.00011787774565164) (item1PK0V,0.00011568232002900913) (itemAzjPR,0.00011547989561222494) (itemUyXau,0.00011013871699105948) (itemxwCH9,0.00010546336125116795)
user73wIM: (itemhOGIE,0.000531668949406594) (itemguPDr,0.00045854374184273183) (itemdkR3x,0.0004458108451217413) (itemBkBCG,0.00035465016844682395) (itemYOYte,0.00033156300196424127) (itemPOi9Y,0.0003018829447682947) (itemWngsI,0.0002764308301266283) (itemSeyqb,0.000266954826656729) (itembuWyf,0.0002564105379860848) (itemH8gzP,0.00025496663874946535) (iteme1aEV,0.00025353109231218696) (itemd9ChJ,0.0002499832771718502) (itemuNHoh,0.0002492116473149508) (item0amMQ,0.00022799070575274527)* (itemcvY2p,0.0002214187989011407)* (itemaTHnd,0.00021903665037825704) (item0rrNz,0.00018986132636200637) (itembHmsT,0.00017900753300637007) (itempLAQY,0.000176344983628951)* (itemlAKEf,0.0001745934278005734)
userU8XiP: (items32yz,0.0004197517700958997) (itemBmrIx,0.000390287401387468) (itemx52zm,0.00032360601471737027) (itemSrPKx,0.0002636921126395464) (item9muy9,0.00023012133897282183)* (itemiCowm,0.00022984234965406358)* (itemABTMM,0.00022317303228192031) (item9lgJn,0.00021517352433875203) (itemnvCLA,0.0002005711867241189)* (itemr1zoc,0.00020017755741719157) (itemQJNS2,0.00018705401453189552) (itemd9ChJ,0.00017406541155651212) (itemVZJC8,0.0001712708326522261) (itemWUHgc,0.00017107551684603095) (itemcvY2p,0.0001601832773303613) (itemVda4U,0.0001474700984545052) (itemCmV8W,0.00014541001291945577) (itemKHT0l,0.00013247301103547215) (itemQStwf,0.00011385123070795089) (item1PK0V,0.0001022132346406579)*
user5YzJs: (itemH8gzP,0.00032787685631774366) (itemXxPjl,0.00031820841832086444) (itemVHyMp,0.00030439888359978795) (itemrT9kO,0.00029442168306559324) (item80q9y,0.00029071903554722667) (itemmMX2p,0.00027806710568256676) (itemEZob3,0.0002649381058290601) (item31doJ,0.000262634945102036) (itemr7q87,0.0002539534470997751) (itemwinns,0.00021930065122433007) (itemvpxYm,0.00018795073265209794) (itemCVpf3,0.00016716559184715152)* (itemwBj8x,0.0001671139762038365) (itemDfuZl,0.0001650132762733847)* (itemQJNS2,0.00016437305021099746) (itemFEgKI,0.00016082041838672012) (itemSW5s8,0.000157239381223917) (itemHrihE,0.00013807298091705889) (item03CQ6,0.00012676249025389552) (itemCmV8W,0.0001253449299838394)
user4FmZm: (itemLPkI9,0.00028144317911937833) (item178I3,0.00020691953250207007) (item6hTeJ,0.00020350553677417338)* (itemZIbqG,0.00017322078929282725) (items32yz,0.00016697555838618428) (itemvn3OC,0.00015930119843687862) (itemyWo9i,0.00014950151671655476)* (itemFoRzs,0.00014834085595794022) (itemIrWce,0.00014610808284487575) (itemRKTJC,0.00013170443708077073)* (itemVZJC8,0.0001278660784009844) (itemUFxkv,0.0001270893553737551) (itemBkBCG,0.000123770980280824) (itemvpxYm,0.00012182779028080404) (itemcWumf,0.00010227265738649294) (itemy6Af3,9.452554513700306e-05)* (itemOCA2H,9.126010991167277e-05)* (itema506d,8.96224519237876e-05)* (itemSeyqb,8.202005847124383e-05) (itemAj7Pj,7.311364606721327e-05)
userTyJoH: (itemXxPjl,0.00033056215033866465) (itemtXKxm,0.00031650022719986737)* (item03CQ6,0.0002922862768173218) (itemQStwf,0.0002836424682755023) (item80q9y,0.0002495327789802104) (itemeROTS,0.00024188189127016813)* (itemwinns,0.0002238364249933511) (itemEQ5kD,0.00020795315504074097)* (itemr7q87,0.00020584414596669376) (item6hTeJ,0.00018831127090379596) (items32yz,0.0001798855373635888)* (itemFjQ4M,0.00017926684813573956) (itemDAINx,0.0001785138010745868) (itemakzor,0.00017776008462533355) (itemSnsYW,0.00016651878831908107) (itemvpxYm,0.00016454464639537036)* (itemg6NgV,0.0001483892265241593) (itemYOYte,0.00012757041258737445) (itemmt9Zs,0.0001255162787856534) (itemyo43o,0.0001198807149194181)
usera7eUd: (itemVZJC8,0.0005121935391798615)* (itemuz9u2,0.0004729965003207326) (itemIBbVf,0.00041003309888765216) (itemHrihE,0.0003717109502758831) (itemllUul,0.00035115869832225144) (itemLPkI9,0.00035052464227192104) (itemvHkzH,0.00034132879227399826) (itemMpeEL,0.00029707426438108087) (itemzfaal,0.000293374847387895) (itemBuZOt,0.00024481856962665915) (itemdC6Wf,0.00020662200404331088) (itemYgdNj,0.00019661342957988381) (itemwBj8x,0.0001714737300062552) (itemRy5SF,0.00015579001046717167) (itemv7Clw,0.0001547400315757841) (item80q9y,0.00015138114395085722)* (itemiCowm,0.0001293540990445763) (itemmbGoj,0.0001155512873083353)* (itemguPDr,0.00010767829371616244) (item9M3lc,0.00010661580017767847)
userKFtUF: (itemlHCkK,0.0004887261893600225) (itemRKTJC,0.00040328269824385643) (itemaPbf4,0.00039233503048308194)* (itempGfZ6,0.00037146953400224447) (itemFsCNW,0.00031084538204595447)* (item9lgJn,0.0003062295727431774)* (itemehZbz,0.0003003590682055801) (itemAj7Pj,0.0002616323181428015) (itemSW5s8,0.0002569792268332094) (itemMNxUT,0.00018671579891815782) (itemUOpVk,0.00018149474635720253) (itemHrihE,0.00016385693743359298) (itemPzRe5,0.00015344686107710004) (itemN8AZu,0.00014858119538985193) (itemEQ5kD,0.0001418935862602666) (itemzexIV,0.00012979007442481816) (item7gr06,0.00011868039291584864) (itemqF1uc,0.00010464026127010584)* (itemZCI04,6.788327300455421e-05) (itemxbm5F,6.492876855190843e-05)
uservcNUX: (itemf6vR5,0.00034168438287451863)* (itemLDh7R,0.0002810356963891536)* (item0VuxA,0.0002807405835483223) (itemH8gzP,0.00023668968060519546) (itemd9ChJ,0.00019654803327284753) (item7gr06,0.00018989949603565037) (itemLPkI9,0.00017859649960882962)* (itemEzeNr,0.00016020474140532315) (itemO64Fe,0.00015690986765548587) (itemdC6Wf,0.00014835360343568027) (itemBuZOt,0.00014437318895943463) (itemUyXau,0.00013511102588381618) (item9muy9,0.00013363966718316078) (itemCVpf3,0.00013184989802539349) (itemjmSae,0.00011697705485858023)* (itemaPbf4,0.00011215599806746468) (item7XnWI,9.773377678357065e-05) (itemUOpVk,9.569736721459776e-05) (itemvpxYm,9.173862781608477e-05) (itemXxPjl,8.461956167593598e-05)*
userhxp30: (itemAj7Pj,0.0006346331792883575) (itemCmV8W,0.0004774451081175357) (itemEB2ZL,0.000378028373233974) (itemtXKxm,0.00036794814513996243) (itemRMr3n,0.00031526232487522066) (itemUo6cI,0.00026425361284054816) (itemnO4tX,0.0002237610169686377)* (itemwrPNe,0.00021292504970915616) (itemWeaex,0.00020165892783552408) (itemWngsI,0.00019229632744099945) (itemAlGQe,0.00018126459326595068) (itemsaQmG,0.00017061230028048158)* (itemZCI04,0.0001680821878835559)* (itemllUul,0.00016134111501742154) (itemw0Hbk,0.00014359090710058808) (items32yz,0.00014031914179213345) (itemeROTS,0.00013548471906688064) (itemuz9u2,0.00010124810796696693)* (itemPn5yf,9.70648616203107e-05) (itemuNHoh,9.523694461677223e-05)
userkfbeV: (itemBmrIx,0.00033835123758763075) (itemsB45O,0.0003266157291363925) (itemFEgKI,0.0003008445492014289) (itemiXwHJ,0.00029986866866238415) (itempLAQY,0.00029164343141019344)* (itemqth87,0.00022201439423952252)* (itemAlGQe,0.00021075992844998837) (itemWngsI,0.00020933938503731042) (item52xJ8,0.0001948018034454435) (itemvHkzH,0.0001881347270682454) (itemYp8lv,0.000182565490831621) (itemxbm5F,0.00017521985864732414) (itemjeN5W,0.00017423945246264338) (itemgEevH,0.00013880550977773964) (item4YMYG,0.00013728110934607685) (itemJyBn3,0.00012638555199373513) (item23scr,0.00011947252642130479)* (item03CQ6,0.00011278536112513393) (itemGgwft,0.00011184342292835936) (itemvjUdv,0.00010146271233679727)
userOmWEg: (item0amMQ,0.00038231874350458384) (itemLDh7R,0.0003785980516113341) (itemnvCLA,0.00034502934431657195) (itemuaFxY,0.00033990381052717566) (itemhOGIE,0.00033651787089183927) (itemJyBn3,0.0002703146601561457) (item0rrNz,0.0002701908233575523) (itemrDLmp,0.0002501085982657969) (itemcWumf,0.0002486661833245307) (itemvpxYm,0.00021627344540320337)* (itemmt9Zs,0.00020172589574940503)* (itemYOYte,0.00018983222253154963) (itempLAQY,0.0001713685051072389) (itemx52zm,0.00016979868814814836) (item80q9y,0.00016742362640798092) (itemKckEp,0.0001651578349992633) (itemPzRe5,0.00016084802336990833) (itemvHkzH,0.00015264573448803276) (itemJaOdU,0.00015147996600717306)* (itemuz9u2,0.00014677533181384206)
userE8IrH: (itemrDLmp,0.0005322693032212555) (itemtXKxm,0.0005052941269241273) (item9lgJn,0.0004054934543091804)* (itemWUHgc,0.00040221476228907704) (itemCVpf3,0.0003808900073636323) (itempGfZ6,0.0003094322746619582)* (item52xJ8,0.0002880964311771095)* (item0rrNz,0.00024584593484178185) (itemSEVUh,0.0002268357202410698)* (itemmMX2p,0.0002091598289553076) (itemJaOdU,0.00020700745517387986) (itemzfaal,0.00019939432968385518)* (itemEZob3,0.0001981246896320954) (itemwrPNe,0.00015020178398117423) (itemPOi9Y,0.00013582927931565791) (itemr7q87,0.0001287925842916593) (itemPn5yf,0.0001275478134630248) (itemr1zoc,9.81032062554732e-05)* (item80q9y,9.105759090743959e-05) (itemoSaYE,8.563550363760442e-05)
userjnRT1: (itemgRlgs,0.0004984330153092742) (itemPn5yf,0.00037885038182139397) (itemUFxkv,0.00035761581966653466)* (itemBuZOt,0.00035714369732886553) (itemfL8PL,0.0003409758792258799) (item9lgJn,0.0003274418704677373) (itemqD4yX,0.00032607209868729115) (item1PK0V,0.0003089841629844159)* (itemSeyqb,0.00030275859171524644) (itemrDLmp,0.0003024418547283858) (item0amMQ,0.0002862029359675944) (itemxwCH9,0.00028451281832531095) (itemkHjKP,0.00024384359130635858) (itemVHyMp,0.00023120740661397576) (itempGfZ6,0.00022560879006050527) (itemSnsYW,0.0002049659815384075)* (itemcvY2p,0.000204529584152624)* (itemWngsI,0.00019695046648848802) (itemPzRe5,0.00019564319518394768) (item0rrNz,0.00019397564756218344)
userbhMwq: (itemqD4yX,0.0004939513746649027) (itemlN5jA,0.0004551721503958106) (itemLDh7R,0.0003561258199624717) (item96Uu6,0.0003219744539819658) (itemH8gzP,0.00031083181966096163) (itemXLYXV,0.0002930026385001838) (itemEQ5kD,0.00028931471752002835)* (item31doJ,0.00023753019922878593) (item03CQ6,0.0002320456551387906) (itemUOpVk,0.00021379020472522825)* (itemexwfY,0.00021082250168547034) (itemJyBn3,0.00019572510791476816) (itemEB2ZL,0.00019354786491021514) (itemSeyqb,0.0001881717034848407)* (itema506d,0.00018017811817117035) (itemKckEp,0.00017424042744096369) (itemtXKxm,0.00016925024101510644) (iteme1aEV,0.00016528448031749576) (itemdoXAn,0.0001527378335595131) (itemWeaex,0.00015042588347569108)
userwXazR: (item0MxmA,0.0004643338907044381) (itemdkR3x,0.00023857275664340705) (itemSnsYW,0.00021991001267451793) (itemO64Fe,0.00018938446009997278) (itemfL8PL,0.00017905866843648255) (item1PK0V,0.00017324747750535607) (item9lgJn,0.00016722598229534924) (itemuz9u2,0.00013279933773446828) (itemmbGoj,0.00011352429282851517) (itemSEVUh,0.00011342974175931886)* (item9DjWX,0.00011166285548824817) (itemr1zoc,9.259629587177187e-05) (itemakzor,9.013056114781648e-05)* (itemKe2Er,8.971757779363543e-05) (itemg6NgV,8.776062168180943e-05) (itemWeaex,7.839506724849343e-05) (itemrT9kO,6.460229633376002e-05) (item0amMQ,5.787498957943171e-05)* (itemqD4yX,5.20634712302126e-05) (itemQStwf,4.987278225598857e-05)
userfJqUh: (itemCVpf3,0.00042790622683241963) (itemZCI04,0.0003571386041585356)* (itemKe2Er,0.0003266182611696422) (item0MxmA,0.00032152238418348134) (item9M3lc,0.0003148007090203464) (itemCmV8W,0.00028323259903118014) (itemTAGOA,0.00027383246924728155) (items32yz,0.00026718765730038285) (itemSW5s8,0.000266814895439893) (itemSrPKx,0.0002517289249226451)* (itema506d,0.00022658222587779164) (itemXLYXV,0.00021512832609005272)* (itemY6045,0.00021155391004867852) (item6hTeJ,0.00020837195916101336) (item9muy9,0.0002066629531327635)* (itemPn5yf,0.00020008484716527164) (item4FB6e,0.00019151945889461786)* (itemQStwf,0.00018184538930654526)* (item1PK0V,0.0001589926250744611) (itemRMr3n,0.00015263937530107796)
userU5xwu: (itemiCowm,0.0004973402828909457)* (itempGfZ6,0.0004928871057927608)* (itemYOYte,0.0004214852524455637) (itemMNxUT,0.00039141238084994256)* (itemDYrOS,0.0003578747855499387) (itemiXwHJ,0.00030775097548030317)* (itemgRlgs,0.000293913995847106) (itemAlGQe,0.00026786807575263083) (itemEQ5kD,0.0002507592143956572)* (itemwinns,0.00022719433763995767) (itemoSaYE,0.00019980153592769057) (itemTuHK9,0.00018113444093614817) (iteme5OvS,0.0001745700865285471) (itemEZob3,0.00015484174946323037) (itemcAUzH,0.00011480000102892518) (itemfL8PL,0.00011110238847322762) (itemxCvQp,0.00010893009311985224) (itemyo43o,8.546171738998964e-05)* (itemRKTJC,6.751436740159988e-05) (itemcvY2p,6.151007255539298e-05)
userjOfN6: (itemSnsYW,0.0005260007455945015)* (iteme5OvS,0.0002518508117645979) (itemBuZOt,0.00023303442867472768) (itemcAUzH,0.0002203701005782932) (iteme1aEV,0.00020348967518657446) (itemAj7Pj,0.00019417080329731107) (itemg6NgV,0.00018653253209777176) (itemQJNS2,0.00018076853302773088) (itemWeaex,0.00013983549433760345)* (itemXxPjl,0.00013550854055210948) (itemY6045,0.00013134567416273057) (itemMpeEL,0.00012609534314833581) (itemRKTJC,0.00011780811473727226) (itemsF3jV,0.00011219890438951552) (itemcWumf,0.00011019870726158842)* (item03CQ6,0.00010853195271920413) (itemmMX2p,0.00010784170444821939) (itemsaQmG,0.00010718104022089392) (itemFoRzs,9.172898717224598e-05)* (itemllUul,8.97260761121288e-05)
userrvaBl: (itemfL8PL,0.00041719223372638226) (itemYOYte,0.00027520183357410133)* (itemEZob3,0.0002377655473537743) (itemdC6Wf,0.00022506499954033643)* (itemUiRdE,0.0002208735968451947) (itemFEgKI,0.00020856382616329938) (item80q9y,0.00020530866459012032) (item162CY,0.00018866221944335848) (itemgoCpP,0.00018403251306153834) (itemsF3jV,0.00016461429186165333) (itemwinns,0.00016119310748763382) (itemtXKxm,0.00013928540283814073) (itemCVpf3,0.00012167732347734272)* (itemRMr3n,0.00010722570732468739)* (itemJyBn3,0.0001042356452671811) (itemUyXau,0.00010142000974155962) (itemdkR3x,9.984836651710793e-05) (itemIrWce,9.181234054267406e-05) (item4FB6e,8.350554708158597e-05) (itemlHCkK,7.290155917871743e-05)
