userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemyWo9i,0.0005685714422725141) (itemllUul,0.0005196083220653236) (itemgoCpP,0.00041960872476920485) (itemEwdGW,0.0003825066960416734) (itemVZJC8,0.00032536473008804023) (itemwinns,0.0002888495218940079) (item9M3lc,0.00025540406932123005) (itemqF1uc,0.00021894171368330717) (itemuNHoh,0.0002028920571319759) (itemOCA2H,0.00018927546625491232) (itemUOpVk,0.000184038290171884)* (itemdC6Wf,0.00017349468544125557)* (item4p3W3,0.00016526025137864053) (itemcVs96,0.0001584950223332271) (itemWngsI,0.0001563950499985367) (itemwrPNe,0.00015435897512361407) (itemWUHgc,0.0001448807743145153) (itemxCvQp,0.00013277537073008716) (itemakzor,0.00011658293078653514) (item0QA86,0.00011598938726820052)*
userCIwg7: (itemWeaex,0.0005478818784467876) (itemvHkzH,0.0005286448867991567) (itemLDh7R,0.0003274808987043798) (itempGfZ6,0.0002603794855531305) (itemuaFxY,0.00023941529798321426) (itemKHT0l,0.00023154777591116726) (itemqF1uc,0.00022011619876138866) (itemDYrOS,0.0001843807112891227) (item618n3,0.00012226949911564589) (item52xJ8,0.00011238397564738989) (itemRy5SF,0.00010026815289165825) (itemEwdGW,9.618500189390033e-05) (itemBkBCG,8.167540363501757e-05) (itemaPbf4,6.167608080431819e-05) (item31doJ,5.209765731706284e-05) (item80q9y,5.015329224988818e-05) (itemSEVUh,2.6202102162642404e-05) (itemDF5f3,1.307415368501097e-05) (itemQStwf,1.1060932592954487e-05) (itemHrihE,-5.397410859586671e-06)
userHL2kL: (itemWngsI,0.00040207337588071823) (itemUFxkv,0.00037252920446917415) (item96Uu6,0.0003545079962350428) (itemg6NgV,0.0003250727604608983) (item52xJ8,0.0002552349178586155) (itemuNHoh,0.00022210116731002927) (itemxwCH9,0.00021502892195712775)* (item64Mnl,0.00015386444283649325) (itemvpxYm,0.0001159557286882773) (itemTAGOA,0.00010655365622369573) (itemv7Clw,9.739175584400073e-05)* (itemAzjPR,9.370977932121605e-05) (itemfL8PL,9.153214341495186e-05) (itemyo43o,8.057301602093503e-05) (itemcWumf,7.41717085475102e-05) (itempGfZ6,6.835292151663452e-05) (item9lgJn,5.108644108986482e-05) (itemjeN5W,4.89986123284325e-05) (itemwrPNe,4.489360435400158e-05) (itemRy5SF,2.621734165586531e-05)
userXPmRz: (itemxvrbY,0.00033180281752720475) (itembuWyf,0.0002787749981507659)* (itemAzjPR,0.00026748020900413394) (itemZIbqG,0.000255567574640736) (itemlHCkK,0.00025152735179290175)* (itemyWo9i,0.00025057082530111074) (itempLAQY,0.0002416605711914599)* (itemehZbz,0.00021963947801850736)* (itemDfuZl,0.00021506636403501034) (itemhOGIE,0.0002074929216178134) (itemlN5jA,0.0001838594034779817) (item23scr,0.00014461830141954124) (itemdC6Wf,0.00013906823005527258) (itemFjQ4M,0.00013659622345585376) (itemAlGQe,0.0001261871075257659) (itemqF1uc,0.0001172731354017742) (itemrT9kO,0.00011030094174202532) (itemEzeNr,9.109763050219044e-05)* (item52xJ8,8.187448838725686e-05) (itemWeaex,7.146348070818931e-05)
userfl0kv: (item4YMYG,0.0008523302967660129) (itemFsCNW,0.0006897069979459047)* (itemcAUzH,0.0005466346046887338) (itemUyXau,0.0004969199071638286) (itemEzeNr,0.0004202726995572448)* (itemuz9u2,0.0003329517785459757) (itemYOYte,0.00027182986377738416) (item52xJ8,0.00019406000501476228) (itemYgdNj,0.00018573935085441917) (itemiXwHJ,0.00018459436250850558) (item1PK0V,0.00018394300423096865) (itemdjMTE,0.00017665090854279697) (itemxvrbY,0.00017210035002790391)* (itemAlGQe,0.0001697606494417414) (itemySRfm,0.00016925606178119779) (itemSnsYW,0.00016127734852489084) (itemMpeEL,0.00015295809134840965) (itemDF5f3,0.00014639811706729233) (item162CY,0.00014593730156775564) (itemdC6Wf,9.625722304917872e-05)
userafRuQ: (itemf6vR5,0.0007435999577865005) (itemXLYXV,0.0006046008784323931) (item52xJ8,0.0004625977308023721)* (itemDfuZl,0.0004511760489549488)* (itemPzRe5,0.00032598100369796157) (item64Mnl,0.0002887924783863127) (item03CQ6,0.0002788471756502986) (itemrDLmp,0.0002693601418286562) (itemY6045,0.00025596568593755364) (itemQStwf,0.0002421139506623149) (itemh9nHh,0.00023046776186674833) (itemvn3OC,0.00022421390167437494)* (itemCVpf3,0.00019830185920000076) (itemsF3jV,0.00018300072406418622) (itempGfZ6,0.00017139955889433622) (itemAzjPR,0.0001623822026886046) (itemLPkI9,0.00015897690900601447)* (itemEZob3,0.00013910817506257445) (itemUyXau,0.00013298926933202893) (item7gr06,0.0001236209209309891)
user73wIM: (itemPzRe5,0.0007139658555388451) (itemRNQTR,0.00044450993300415576)* (itemVARpF,0.000441741751274094) (itemGgwft,0.0004233543877489865)* (itemakzor,0.00041793601121753454) (itemJyBn3,0.00038776028668507934) (itemfL8PL,0.00033052809885703027)* (itemd9ChJ,0.0003186606627423316) (itemWngsI,0.00031320881680585444) (itemsF3jV,0.0002719151380006224) (item0rrNz,0.00025056605227291584) (itemuz9u2,0.00023577443789690733) (item0VuxA,0.00022215829812921584) (item1PK0V,0.00021915422985330224) (itemguPDr,0.00021305837435647845) (itemUyXau,0.0002046077570412308)* (itemgRlgs,0.00019894416618626565) (item7gr06,0.00018337872461415827) (item0MxmA,0.000168359765666537) (itemcVs96,0.0001488859998062253)
userU8XiP: (item9muy9,0.0004839251341763884)* (item84cQ6,0.0004009741242043674) (itemcVs96,0.00036906267632730305) (itemqppyW,0.0003046772617381066) (itemgoCpP,0.00025884906062856317) (itemSW5s8,0.00025466823717579246) (itemr1zoc,0.00024964718613773584) (itemmt9Zs,0.0002428823063382879) (itemPOi9Y,0.0002390564768575132)* (itemFzVAJ,0.00022510666167363524) (item9lgJn,0.0001859135809354484) (itemKe2Er,0.00017549913900438696)* (itemxwCH9,0.0001535831397632137)* (itemehZbz,0.00012987805530428886)* (itemVZJC8,0.0001245927851414308) (itemEwdGW,0.00011725140211638063)* (itemnO4tX,0.00011668223305605352) (item03CQ6,6.474739348050207e-05) (itemVARpF,5.731047713197768e-05)* (itemjIyZN,4.335061021265574e-05)
user5YzJs: (itemwAkpa,0.00037352804793044925)* (itemxbm5F,0.00035744195338338614) (item80q9y,0.00029593321960419416) (itemsF3jV,0.0002933451905846596) (itemDfuZl,0.000279379659332335)* (item0MxmA,0.00027146085631102324) (itemwinns,0.00024686436518095434) (itemr7q87,0.00021245615789666772) (itemXxPjl,0.00019643983978312463) (itemSeyqb,0.00016799366858322173) (itemKckEp,0.0001570841413922608) (itemv7Clw,0.00014415962505154312) (item03CQ6,0.00014168242341838777) (itemgRlgs,0.00013785144255962223) (itemVARpF,0.00013217942614573985) (item84cQ6,0.00012302168761380017) (item9M3lc,0.00011771298886742443) (itemmMX2p,0.00011453194019850343) (itemVHyMp,9.171233250526711e-05) (itemYOYte,8.265020733233541e-05)*
user4FmZm: (itemgRlgs,0.0005201280582696199) (itemkHjKP,0.00042969066998921335) (itemKe2Er,0.0004140446544624865)* (itemvn3OC,0.0003929570084437728) (itemRNQTR,0.00035860633943229914)* (itemvQ7sQ,0.00032445284887216985) (itemPOi9Y,0.0003081088652834296) (item6hTeJ,0.000294493162073195)* (itemZIbqG,0.00027487712213769555) (itemQStwf,0.00023261427122633904) (itemRKTJC,0.00022496555175166577)* (item1PK0V,0.00022134740720503032) (itemBkBCG,0.0002183981123380363) (item9M3lc,0.0002129646309185773) (itemdkR3x,0.00020704026974271983) (items32yz,0.00016509651322849095) (itemYp8lv,0.00016452789714094251) (itemcWumf,0.00014395316247828305) (itemPn5yf,0.00012361355766188353) (itembuWyf,0.00011340258060954511)
userTyJoH: (itemtXKxm,0.0007233659853227437)* (item9muy9,0.000629464047960937)* (item0VuxA,0.0004872215795330703) (itemkHjKP,0.0004201618139632046)* (itemY6045,0.00039930606726557016) (itemUiRdE,0.00036633951822295785) (itemvpxYm,0.00036435225047171116)* (itemnO4tX,0.0003629275888670236) (itempGfZ6,0.00034891656832769513) (itemgRlgs,0.00031927748932503164) (itemVARpF,0.00029775488656014204)* (item6hTeJ,0.0002801644732244313) (itemPn5yf,0.0002539629058446735) (itemEzeNr,0.00024368906451854855) (itemdoXAn,0.00024078217393252999) (itemSrPKx,0.00023567797325085849) (items32yz,0.00022102179354988039)* (itemOCA2H,0.00020127330208197236) (item4YMYG,0.00019589043222367764) (item80q9y,0.000176457833731547)
usera7eUd: (item9M3lc,0.00047752150567248464) (itembHmsT,0.00045819749357178807) (itemPzRe5,0.0004139950906392187) (item80q9y,0.00036459503462538123)* (itema506d,0.000362554972525686) (itemsB45O,0.00034660848905332386) (itemGgwft,0.0003273235051892698) (itemr1zoc,0.00029265202465467155)* (item7gr06,0.0002913197095040232) (itemzfaal,0.00026920659001916647) (itemeROTS,0.00023080670507624745) (itemvHkzH,0.00022195832571014762) (itempLAQY,0.00019873175187967718) (itemUo6cI,0.00015850455383770168) (itemEZob3,0.00015453922969754785) (itemmMX2p,0.00015201131463982165) (itemVZJC8,0.00015021610306575894)* (itemmbGoj,0.0001483343803556636)* (itemRy5SF,0.0001440599444322288) (item9lgJn,0.00012979576422367245)*
userKFtUF: (itemKHT0l,0.0005395917105488479) (itemdoXAn,0.0004533408209681511) (itemJyBn3,0.0004055267199873924) (item7gr06,0.00039860804099589586) (itemehZbz,0.00036519276909530163) (itemlHCkK,0.00034116560709662735) (itemRKTJC,0.00032302626641467214) (itemdC6Wf,0.00032034097239375114) (item03CQ6,0.00031933258287608624) (itemjmSae,0.00030612346017733216) (itemmbGoj,0.00027771186432801187)* (itemRNQTR,0.0002758889750111848) (itemN8AZu,0.000258000596659258) (itemGgwft,0.00023780566698405892) (item9DjWX,0.00018770048336591572) (item9lgJn,0.00017573869263287634)* (itemyo43o,0.0001602761767571792) (itemnvCLA,0.00015531646204181015) (itemHrihE,0.00014700842439197004) (itemRMr3n,0.00014524707512464374)
uservcNUX: (itemH8gzP,0.0006538876332342625) (itemIrWce,0.00043403124436736107) (itemguPDr,0.0003631658910308033) (itemmMX2p,0.00034671841422095895) (item23scr,0.00031332584330812097) (itemZIbqG,0.00028953736182302237) (itemlepVl,0.0002681374899111688) (itemFsCNW,0.0002475114306434989) (itemDAINx,0.00024123600451275706)* (itemUiRdE,0.00023687597422394902) (itemdoXAn,0.0002354263560846448) (itemh9nHh,0.0002258053282275796) (itemQkv6a,0.00021683811792172492) (itemrT9kO,0.0002156582777388394) (itemKckEp,0.0002078709949273616) (item162CY,0.00018840495613403618) (item9muy9,0.00018160368199460208) (itemFoRzs,0.0001750570663716644) (itemVda4U,0.00017435023619327694)* (itemva2ph,0.00017154947272501886)
userhxp30: (itemPOi9Y,0.0005082227871753275) (itemH8gzP,0.00045274224248714745) (itemlepVl,0.00037660880479961634) (itemva2ph,0.0003714280610438436) (itempGfZ6,0.0003481994499452412) (itemUo6cI,0.0003209218557458371) (itemKe2Er,0.00030884085572324693) (itemWeaex,0.0002555458922870457) (itemMzrpc,0.00019904613145627081) (itemkHjKP,0.00016105071699712425)* (itemAlGQe,0.0001577523216838017) (itemmt9Zs,0.00014084177382756025) (itemehZbz,0.00013345439219847322) (itemCmV8W,0.00012416347453836352) (item9muy9,0.00011179947614436969) (itemrT9kO,0.0001097668573493138) (itemEzeNr,0.00010625753202475607) (itemVda4U,9.068261715583503e-05) (itemcvY2p,8.776185859460384e-05) (itemyo43o,7.346662459895015e-05)
userkfbeV: (item23scr,0.0003865411854349077)* (itemoSaYE,0.0003675500920508057) (itemFEgKI,0.0003575595037546009) (itemaTHnd,0.0002959498669952154) (item6hTeJ,0.0002628928341437131) (itemQJNS2,0.000250722689088434)* (itemJyBn3,0.00022033791174180806) (item7gr06,0.0002148310886695981) (item7XnWI,0.00021293493045959622) (itemPzRe5,0.00020208526984788477) (itemV1Vwk,0.0001893933367682621) (itemGgwft,0.00018729051225818694) (itemFoRzs,0.00018094864208251238) (itemTuHK9,0.00018020519928541034) (itemAlGQe,0.00017607123299967498) (itemXxPjl,0.00014641557936556637)* (itemYp8lv,0.00012204045196995139) (itemlHCkK,0.00012062805035384372) (itemPn5yf,0.00010673092765500769) (itemWngsI,0.00010545378609094769)
userOmWEg: (itemVda4U,0.0006100013270042837) (itemEZob3,0.000531078374478966) (itemg6NgV,0.0004656505770981312) (itemBkBCG,0.00035359186585992575) (itemwrPNe,0.00032980184187181294) (itemlN5jA,0.00031083059730008245) (itemlHCkK,0.00029326678486540914) (itempGfZ6,0.00026135070947930217)* (itemDF5f3,0.0002270970871904865) (itemcVs96,0.000213748833630234) (itemvn3OC,0.00021364288113545626)* (itempLAQY,0.00019476661691442132) (item03CQ6,0.00018522387836128473) (itemABTMM,0.00016398975276388228) (itemGgwft,0.00011704392818501219)* (itemx52zm,0.00011593939416343346) (itemgEevH,0.00011275112046860158)* (itemPzRe5,0.000108023923530709) (itemPOi9Y,0.00010616208601277322) (itemvHkzH,0.00010233815555693582)
userE8IrH: (item9M3lc,0.0004402072518132627) (itema506d,0.0003238492936361581) (itemr1zoc,0.0003083140472881496)* (itemnvCLA,0.00028443775954656303)* (itemtXKxm,0.00027593341656029224) (itemd7GN3,0.00024402204144280404) (itemAzjPR,0.0002331794094061479) (itembHmsT,0.00021543385810218751) (itemCVpf3,0.00020980587578378618) (item31doJ,0.00020799344929400831) (itemWUHgc,0.00019930940470658243) (itempLAQY,0.00014746664965059608) (item80q9y,0.00012923075701110065) (itemN8AZu,0.00012259774666745216) (item0rrNz,0.00011198367428733036) (itempGfZ6,7.951785664772615e-05)* (itemwinns,6.899029540363699e-05)* (itemgRlgs,6.330906035145745e-05)* (item96Uu6,5.3655596275348216e-05) (itemySRfm,3.485934576019645e-05)
userjnRT1: (itemAzjPR,0.0003991995472460985) (itemnO4tX,0.0003805204469244927) (itemRKTJC,0.000377756601665169)* (itemxbm5F,0.0003717773361131549)* (itemUFxkv,0.00035400973865762353)* (itemvn3OC,0.000332040770445019) (itemcvY2p,0.0003034003311768174)* (itemN8AZu,0.00029704481130465865) (itemqD4yX,0.0002910650218836963) (item0amMQ,0.0002890561008825898) (itemYp8lv,0.00028463220223784447) (itemKe2Er,0.0002692544076126069)* (itempGfZ6,0.00026512291515246034) (item6hTeJ,0.0002554856473580003) (itema506d,0.00021729175932705402) (item618n3,0.00020799168851226568) (itemVZJC8,0.00020264134218450636) (itemGgwft,0.00018553019617684186) (itemBmrIx,0.00017970221233554184) (itemvpxYm,0.00016765683540143073)
userbhMwq: (itemdjMTE,0.0003924406482838094) (itemIBbVf,0.0003706852439790964) (itemguPDr,0.0003627986297942698) (itemiXwHJ,0.00027254183078184724) (itemqD4yX,0.00023607927141711116) (item84cQ6,0.00023306504590436816) (itemgEevH,0.00021970001398585737) (itemcVs96,0.00020959871471859515) (itemexwfY,0.00019171516760252416) (item178I3,0.00018577039008960128) (itemrT9kO,0.00018200368504039943) (itemYgdNj,0.00017554139776621014)* (item31doJ,0.00015973151312209666) (itemJaOdU,0.0001400634355377406)* (itemDAINx,0.00013812522229272872) (itemH8gzP,0.00012918162974528968) (item4FB6e,0.00012749797315336764) (itemUOpVk,0.00012350409815553576)* (itempLAQY,0.00012096602586098015)* (itemr7q87,0.0001204418222187087)
userwXazR: (itemr1zoc,0.000489542493596673) (itemcVs96,0.000485574419144541) (itema506d,0.0004395445575937629) (itemBkBCG,0.00043046922655776143) (itemPOi9Y,0.000427992083132267)* (itemZCI04,0.0003789777110796422) (itemKe2Er,0.00032355496659874916) (itembHmsT,0.0003136402810923755) (item9lgJn,0.0003008237399626523) (itemoSaYE,0.00029198580887168646) (item9M3lc,0.0002880696556530893) (itemQkv6a,0.00026841467479243875) (itemg6NgV,0.00026702735340222716) (item0MxmA,0.0002462392149027437) (itemSrPKx,0.00023159050033427775) (itemsF3jV,0.00022798925056122243) (itemO64Fe,0.00021309094154275954) (itemmt9Zs,0.0002013168705161661) (itemCVpf3,0.00018075609114021063) (itemWeaex,0.00017627753550186753)
userfJqUh: (itemaPbf4,0.0005549873458221555)* (itemqppyW,0.0005025460850447416) (item1PK0V,0.0004401627811603248) (item96Uu6,0.0003794076037593186)* (itemBuZOt,0.00036499352427199483) (itemTAGOA,0.00034953729482367635) (itemgRlgs,0.00034096877789124846)* (itemuNHoh,0.0003129745600745082)* (itemFoRzs,0.00027456897078081965) (itemRMr3n,0.0002540322602726519) (item7XnWI,0.0002503787982277572) (itemzfaal,0.0002447066071908921) (item7gr06,0.00022221638937480748) (itemySRfm,0.00020909224986098707) (itemqF1uc,0.00020390046120155603) (item0VuxA,0.00018658368207979947) (itemwBj8x,0.00016279489500448108) (itemSrPKx,0.00016115822654683143)* (item9M3lc,0.00013749916979577392) (itemmt9Zs,0.00012856263492722064)*
userU5xwu: (itemcAUzH,0.0004840888432227075) (item0VuxA,0.0004128370201215148) (itemFsCNW,0.000314148172037676)* (itemRKTJC,0.000265609472990036) (itemAlGQe,0.0002520453999750316) (itemCVpf3,0.00024621363263577223) (item6hTeJ,0.00023934048658702523)* (itemgRlgs,0.00020808250701520592) (itemUiRdE,0.00020573404617607594) (itemABTMM,0.00020261158351786435) (itemoSaYE,0.00015859209815971553) (itemiCowm,0.0001216477612615563)* (iteme5OvS,0.00011148083285661414) (itemVARpF,8.645206980872899e-05) (item0MxmA,6.37254270259291e-05) (itemYOYte,5.86826863582246e-05) (itemUyXau,5.8542642364045605e-05)* (itemva2ph,5.113320366945118e-05) (items32yz,3.1171279260888696e-05) (itemf6vR5,1.147946750279516e-05)*
userjOfN6: (itemRy5SF,0.0005344930686987936) (itemf6vR5,0.0003693588951136917) (itemVZJC8,0.00034445407800376415) (itempGfZ6,0.00034038646845147014) (itemmbGoj,0.0003349988837726414) (itemPzRe5,0.0003218499477952719) (itemPn5yf,0.0003100368776358664) (itemZCI04,0.00030955293914303184) (itemSnsYW,0.00030674514709971845)* (item96Uu6,0.0002820593072101474) (itemiXwHJ,0.0002706792438402772) (item4YMYG,0.00023808224068488926)* (itemxvrbY,0.0002340763749089092) (itemg6NgV,0.00022990783327259123) (itemWeaex,0.00022786518093198538)* (item52xJ8,0.0002222482580691576) (itemqF1uc,0.00019427179358899593) (itemEQ5kD,0.00016923781367950141) (itemVARpF,0.00015608409012202173)* (itemllUul,0.00015445744793396443)
userrvaBl: (itemVHyMp,0.0007594989147037268)* (itemgRlgs,0.0005739930202253163)* (itemEzeNr,0.0005106707103550434) (itemSeyqb,0.00044505472760647535) (itemCVpf3,0.0004358649894129485)* (itemlN5jA,0.00043513913988135755) (itemexwfY,0.0004175457579549402) (itemMpeEL,0.00031377814593724906) (item84cQ6,0.00030838476959615946) (itemKckEp,0.0003079692251048982) (itemmbGoj,0.0003062510513700545) (itemvHkzH,0.0002980100689455867) (itemsF3jV,0.0002914245706051588) (itemVZJC8,0.0002785736578516662) (itemFEgKI,0.0002541090361773968) (itemY6045,0.00022207509027794003) (item2FMEC,0.00020548157044686377) (itemBuZOt,0.0002005166170420125) (itemvjUdv,0.00019980363140348345) (item1PK0V,0.0001721517473924905)
