userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemlN5jA,0.00037051827530376613) (itemnvCLA,0.00033355806954205036) (itemDYrOS,0.0003287862055003643) (itemVARpF,0.00032118428498506546) (itemFsCNW,0.0003144147340208292)* (itemcVs96,0.00028728815959766507) (itemVHyMp,0.0002734840090852231) (itemdjMTE,0.0002491893246769905) (itemRMr3n,0.00024522707099094987) (itemAzjPR,0.00023180333664640784) (item84cQ6,0.00022777169942855835) (itemTuHK9,0.0002017355291172862)* (itemrT9kO,0.0001869479747256264) (itemuNHoh,0.000175931811099872) (itemlHCkK,0.00017277500592172146)* (item9lgJn,0.00016036008310038596) (item618n3,0.00012488615175243467) (itemYOYte,0.00012343966227490455) (itemwrPNe,0.0001194007127196528) (itemFEgKI,0.00011606253974605352)*
userCIwg7: (itempGfZ6,0.0004561466630548239) (item0amMQ,0.0003840027784463018) (itemY6045,0.00033199635799974203) (itemABTMM,0.00026263727340847254) (item6TcLl,0.00026203380548395216) (itemUo6cI,0.0002484913857188076) (itemeROTS,0.0002345970133319497) (itemjeN5W,0.00023320710170082748) (itemxbm5F,0.00022644175624009222) (itemDAINx,0.0002060208353213966) (itemuaFxY,0.0001985602721106261) (item2FMEC,0.00016332301311194897) (itemkHjKP,0.00016218774544540793) (itema506d,0.00014292658306658268) (itemSEVUh,0.0001377604785375297) (itemAlGQe,0.0001274584064958617) (itemMzrpc,0.00011660926975309849)* (itemv7Clw,0.00010640463733579963) (itemllAnb,0.00010081329673994333) (itemw0Hbk,8.168939530150965e-05)
userHL2kL: (itemguPDr,0.0006652485462836921) (itemRMr3n,0.00046028016367927194) (itemaPbf4,0.0004147200961597264) (itemKHT0l,0.0004058491322211921) (itemd7GN3,0.00037158135091885924) (itembHmsT,0.0003534404968377203) (itemlN5jA,0.0003349569160491228) (itemwinns,0.00030035246163606644) (itemBmrIx,0.0002915777440648526) (itemRKTJC,0.0002898405655287206) (itemlHCkK,0.00026837829500436783) (item162CY,0.000266925897449255) (itemwBj8x,0.00023636850528419018) (item9lgJn,0.00023561959096696228) (itemoSaYE,0.00022279471158981323) (item23scr,0.0002207797224400565) (itemsB45O,0.00021476726396940649) (itemVARpF,0.00019775264081545174) (itemH8gzP,0.00017588140326552093) (itemDfuZl,0.0001636459637666121)
userXPmRz: (itemWeaex,0.0005792080191895366) (itemZIbqG,0.0005332028958946466) (itemWngsI,0.0004648622707463801)* (itempLAQY,0.0003515268908813596)* (itemfL8PL,0.0003279956290498376) (itemFjQ4M,0.0003155047888867557) (itembuWyf,0.00031193922040984035)* (itemdC6Wf,0.00030912167858332396) (itemSeyqb,0.0002892227203119546) (itemO64Fe,0.0002873145858757198) (itemhOGIE,0.00026788568357005715) (itemvHkzH,0.00025208620354533195) (itemg6NgV,0.00024152894911821932)* (itemV1Vwk,0.00022021829499863088)* (item0VuxA,0.0002197053690906614) (itemxvrbY,0.0002138365525752306) (itemUFxkv,0.00021059258142486215) (itemLDh7R,0.00020937802037224174) (item0QA86,0.00020928465528413653) (itemIrWce,0.00019728433107957244)*
userfl0kv: (item03CQ6,0.0003959406749345362) (item52xJ8,0.0003399815468583256) (itemPzRe5,0.00030739186331629753)* (itemYOYte,0.00027212186250835657) (itemAlGQe,0.0002708768588490784) (item1PK0V,0.0002543971058912575) (itemdkR3x,0.0002473428612574935) (itemdC6Wf,0.00021758695947937667) (itemWUHgc,0.00021162311895750463)* (itemEzeNr,0.00020091739133931696)* (itemqF1uc,0.00017196041881106794) (itemDfuZl,0.0001629634789424017) (itemFzVAJ,0.0001590572646819055) (itemSeyqb,0.00015138006710913032) (itemCVpf3,0.0001425370282959193) (itemnO4tX,0.00012021910515613854) (itemJaOdU,0.00011994552914984524) (itemaTHnd,0.00011629109212663025) (itemTuHK9,0.00011413388710934669)* (item0amMQ,0.00011363551311660558)
userafRuQ: (itemvHkzH,0.0005534383235499263) (itemf6vR5,0.000528622476849705) (itemXLYXV,0.0005169140640646219) (itemzfaal,0.00038289534859359264) (itemyo43o,0.00036597944563254714)* (iteme5OvS,0.00035705824848264456) (itemw0Hbk,0.0003428222262300551) (itemABTMM,0.00032686663325876)* (itemY6045,0.0003094030253123492) (item96Uu6,0.00030020903795957565) (itemCVpf3,0.0002673573908396065) (itemDfuZl,0.00025485220248810947)* (itemmt9Zs,0.00024048914201557636) (itemvpxYm,0.00023111756308935583) (itemMNxUT,0.00023041697568260133) (itemQStwf,0.00022309209452942014) (itempGfZ6,0.0002158918941859156) (itemBkBCG,0.00020195977413095534) (item7gr06,0.00018983575864695013) (itemUiRdE,0.00017538935935590416)
user73wIM: (itemguPDr,0.0006209996063262224) (itemhOGIE,0.0004326427588239312) (itemlepVl,0.00042603176552802324) (itemXLYXV,0.0003428465570323169) (item7gr06,0.0003254939801990986) (itemup8oB,0.000287572416709736) (itemVARpF,0.000260929053183645) (itemPn5yf,0.0002503824362065643) (itemJyBn3,0.00022508075926452875) (itembuWyf,0.00022156222257763147) (itemsB45O,0.00018369642202742398)* (itemuz9u2,0.00017190795915666968) (item84cQ6,0.0001718502608127892) (item9M3lc,0.00015691427688580006)* (itemSrPKx,0.0001492743904236704) (itemUFxkv,0.0001473646698286757)* (itemcvY2p,0.0001461285282857716)* (item0VuxA,0.00014444880071096122) (itemKHT0l,0.00013190877507440746) (itemqth87,0.0001257657422684133)*
userU8XiP: (itemcVs96,0.0005490005714818835) (itemRNQTR,0.0003831176145467907) (itemQJNS2,0.0003344427386764437) (itemFzVAJ,0.00032920113881118596) (itemuaFxY,0.00029453649767674506) (itemd9ChJ,0.0002761053910944611) (itemvQ7sQ,0.00022979181085247546) (itemSW5s8,0.00022426157374866307) (itemqppyW,0.0002132292283931747) (itemg6NgV,0.00018314066983293742) (itemjeN5W,0.00017962532001547515) (itemvjUdv,0.0001750697410898283) (itemllAnb,0.00016139709623530507) (itemsaQmG,0.00015026546316221356) (itemlN5jA,0.0001469914277549833) (itemBmrIx,0.00013322936138138175) (itemrDLmp,0.00011824518151115626) (itempLAQY,9.271108137909323e-05) (itemxwCH9,8.472645276924595e-05)* (itemx52zm,7.375192944891751e-05)
user5YzJs: (itemjeN5W,0.0004196717054583132) (itemYgdNj,0.000416758528444916) (item9muy9,0.0002714259026106447) (itemxvrbY,0.00026835189783014357) (itemmMX2p,0.00026668707141652703) (itemup8oB,0.0002584904432296753) (item84cQ6,0.00024644684162922204) (itemmt9Zs,0.0002455172943882644) (item03CQ6,0.00019167095888406038) (itemxbm5F,0.00018278478819411248) (itemFEgKI,0.0001741640007821843) (itemxCvQp,0.00017000357911456376)* (itemCmV8W,0.0001624909054953605) (itemKHT0l,0.00015925159095786512) (itemCVpf3,0.00014621274021919817)* (itemHrihE,0.00013710529310628772) (item0rrNz,0.0001363741757813841)* (itema506d,0.00011714460561051965) (itemllAnb,0.00010578402725514024) (itemMpeEL,0.00010410031245555729)
user4FmZm: (itemcVs96,0.00043581798672676086) (itemSeyqb,0.00039404589915648103) (itemYOYte,0.00036313547752797604) (item64Mnl,0.0002749039849732071)* (itemwAkpa,0.000270714343059808)* (itemIrWce,0.0002597656275611371) (item0QA86,0.00025527068646624684) (itemPzRe5,0.00019985817198175937)* (itemRKTJC,0.00016953849990386516)* (item162CY,0.00015608803369104862) (itemSW5s8,0.00013409246457740664)* (itemTAGOA,0.00012024831085000187)* (itemYp8lv,0.00011067678860854357) (itemvjUdv,0.00011002610699506477) (itemvQ7sQ,0.0001097661443054676) (itemy6Af3,0.0001072144805220887)* (itemLPkI9,0.00010428975656395778) (itemsaQmG,9.545008651912212e-05) (itemFsCNW,9.522442269371822e-05)* (itemkHjKP,9.137076995102689e-05)
userTyJoH: (items32yz,0.0003795466327574104)* (itemRKTJC,0.00037122127832844853) (itemup8oB,0.00035842304350808263) (itemYOYte,0.00031068469979800284) (itemKHT0l,0.0002828514843713492) (itemWeaex,0.0002760414790827781) (itemY6045,0.00026638287818059325) (itemTuHK9,0.00020933519408572465)* (itemvpxYm,0.0002053062489721924)* (item64Mnl,0.00018966708739753813) (itemlAKEf,0.00018940703012049198)* (itemDYrOS,0.00018851261120289564)* (itemrT9kO,0.00018353803898207843) (itemXxPjl,0.00015702765085734427) (itemyo43o,0.0001527022832306102) (itemuNHoh,0.00015115668065845966) (item96Uu6,0.00014814958558417857) (itemllUul,0.00014792042202316225) (itemN8AZu,0.00014345224190037698)* (itemiCowm,0.00013731562648899853)*
usera7eUd: (itemzfaal,0.0004936954937875271) (item7gr06,0.00032479941728524864) (itemoSaYE,0.0002526760217733681) (itemiCowm,0.0002388238353887573) (itembuWyf,0.00020555949595291167) (itemgEevH,0.000202777300728485) (itemlepVl,0.00020135821250732988) (item1PK0V,0.00020066436263732612) (itemHrihE,0.00018090066441800445) (itemUo6cI,0.00010653844219632447) (itemwrPNe,9.689646685728803e-05)* (itemexwfY,9.559998579788953e-05) (itemsaQmG,7.271244248840958e-05) (itemSeyqb,6.97201321600005e-05) (itemqppyW,5.99174018134363e-05) (itemIBbVf,4.416028241394088e-05) (itemEQ5kD,3.155477315885946e-05) (itemGgwft,2.9061458917567506e-05) (itemDAINx,2.8525897505460307e-05) (itemJaOdU,2.1730331354774535e-05)*
userKFtUF: (iteme5OvS,0.000482930860016495) (itemxCvQp,0.0004147423605900258) (itemFsCNW,0.0004127166757825762)* (itemlepVl,0.00037359644193202257) (itemMzrpc,0.00036793272010982037)* (itemEB2ZL,0.00029458702192641795) (itemr7q87,0.0002693308051675558) (itembuWyf,0.0002050603652605787) (itemmMX2p,0.00019908625108655542) (itemh9nHh,0.00018837073002941906) (itemiXwHJ,0.00018585444195196033) (itempLAQY,0.00017308213864453137) (itemtXKxm,0.0001615571673028171) (itemexwfY,0.00012122026237193495)* (itemMpeEL,0.00011477083899080753)* (itemGgwft,0.00011062874546041712) (itemKckEp,0.00010960256622638553) (itemnvCLA,0.000108316533442121) (itemwrPNe,0.0001035552704706788) (itemDF5f3,0.00010290369391441345)
uservcNUX: (itemdqVVX,0.0005815516342408955)* (itemO64Fe,0.000466985598905012) (itemAlGQe,0.00044018978951498866)* (item0amMQ,0.0003164444351568818) (itemx52zm,0.0003153628495056182) (itemSW5s8,0.0002968881162814796) (item9lgJn,0.000252941797953099) (item23scr,0.00023364883963949978) (itemUFxkv,0.00021588336676359177) (itemrT9kO,0.000199477857677266) (itemvQ7sQ,0.00019445113139227033) (itempGfZ6,0.0001905823446577415) (itembHmsT,0.00018036915571428835) (itemjIyZN,0.00017513892089482397) (item9muy9,0.00017302014748565853) (itemup8oB,0.00016398297157138586) (itemSrPKx,0.00015368929598480463) (itemdC6Wf,0.0001534750626888126) (itemXxPjl,0.00015301030362024903)* (itembuWyf,0.00015143380733206868)
userhxp30: (itemguPDr,0.0006618999177590013)* (itemEzeNr,0.0005449940217658877) (itemUo6cI,0.0005173103418201208) (itemYgdNj,0.00048355598119087517) (itemehZbz,0.00036352797178551555) (itemrT9kO,0.00030928311753086746) (itemaTHnd,0.0003062410687562078) (itemV1Vwk,0.00030495700775645673) (itemcAUzH,0.0002894782228395343) (itemUyXau,0.00028889597160741687) (item9lgJn,0.000282491062534973) (itemPzRe5,0.0002768266713246703) (itemllUul,0.00025305862072855234) (itemgEevH,0.0002281489287270233) (itemWeaex,0.00020116136875003576) (itemRMr3n,0.00019119217176921666) (itemuNHoh,0.00018549706146586686) (itemsaQmG,0.0001747338828863576)* (itemvpxYm,0.00016447626694571227)* (itemEZob3,0.00015695657930336893)
userkfbeV: (item03CQ6,0.00038903229869902134) (item162CY,0.0003663163515739143) (item178I3,0.00032245033071376383) (itemUyXau,0.00032155588269233704) (itemsaQmG,0.0003009396023117006)* (item7gr06,0.00029924578848294914) (itemTAGOA,0.0002696022274903953)* (item0amMQ,0.0002528280019760132) (itemGAqYy,0.0002376133925281465) (itemPzRe5,0.00023473713372368366) (itemd9ChJ,0.0002167920902138576) (itemlHCkK,0.0002014342462643981) (itemgEevH,0.0002013167249970138) (itemhOGIE,0.0001867457467596978) (itemaTHnd,0.00016158242942765355) (itemvjUdv,0.00015981601609382778) (itemSrPKx,0.00015917923883534968) (itemAlGQe,0.0001502025406807661) (itembHmsT,0.0001478910562582314) (itemQJNS2,0.00014512789493892342)*
userOmWEg: (itemrDLmp,0.000324079766869545) (itemEB2ZL,0.0002522550930734724) (itemg6NgV,0.0002467291778884828) (itemAj7Pj,0.0002346941619180143) (itemlN5jA,0.0002128130290657282) (itemzfaal,0.00018894784443546087) (itemguPDr,0.0001858766918303445) (itemfL8PL,0.00018373384955339134) (item6hTeJ,0.00018070926307700574) (itemSEVUh,0.00017007786664180458)* (itemvpxYm,0.00016816763672977686)* (itemGgwft,0.00016381092427764088)* (itemv7Clw,0.00016024467186070979) (itemV1Vwk,0.0001482062943978235) (itemSeyqb,0.00012262092786841094) (itemPOi9Y,0.0001108687138184905) (itemPzRe5,0.00010359906445955858) (itemnvCLA,9.270508599001914e-05) (itemFzVAJ,9.040623262990266e-05) (itemZCI04,8.135767711792141e-05)
userE8IrH: (itemYOYte,0.0005674745189025998) (itemKHT0l,0.00046171151916496456) (item4p3W3,0.0004015150771010667) (itemAzjPR,0.0003912978572770953) (itemY6045,0.00038611795753240585) (itemeROTS,0.00035517674405127764) (itemkHjKP,0.00034853979013860226) (itemcVs96,0.0003082308976445347)* (itemzexIV,0.0002925576991401613) (itemgRlgs,0.0002909523609559983)* (item9M3lc,0.00024538044817745686) (itemUo6cI,0.000244883238337934) (itemPzRe5,0.0002247869997518137) (itemTAGOA,0.00020536218653433025) (itemySRfm,0.00020137472893111408) (itemr1zoc,0.00019342245650477707)* (itemnvCLA,0.000191767918295227)* (item0rrNz,0.0001854804577305913) (items32yz,0.00014957718667574227)* (itemuaFxY,0.00014556836686097085)
userjnRT1: (item9lgJn,0.0006536748842336237) (itemEzeNr,0.0004008471732959151) (item7gr06,0.0003683560062199831) (itemVZJC8,0.0003609970153775066) (itemUyXau,0.00035342585761100054) (itemBuZOt,0.00029564445139840245) (itemBmrIx,0.00028533171280287206) (itemSnsYW,0.00027060063439421356)* (itemDAINx,0.0002329820126760751) (itemWeaex,0.00022540666395798326) (item96Uu6,0.0002001651155296713) (itemakzor,0.00019750204228330404) (itemdC6Wf,0.00019246336887590587)* (itemd9ChJ,0.00015545568021479994) (item0amMQ,0.0001394084538333118) (itemUiRdE,0.00013179914094507694) (itemIrWce,0.00013067194959148765) (itemRKTJC,0.00013052758004050702)* (itemr7q87,0.00012550181418191642) (item6TcLl,0.00012498092837631702)
userbhMwq: (itemguPDr,0.0006788147147744894) (itemEwdGW,0.0005939897382631898) (itemUo6cI,0.0004480858042370528) (item4FB6e,0.00042431458132341504) (itemcVs96,0.0004209561157040298) (itemVda4U,0.0003847811894956976) (itemehZbz,0.0003773317439481616) (itemDAINx,0.0003647425619419664) (item2FMEC,0.0003643796080723405) (itemsB45O,0.0003076907596550882) (iteme1aEV,0.00027940471773035824) (itemAj7Pj,0.0002656981232576072) (itemSeyqb,0.00025752614601515234)* (itemFEgKI,0.0002523539587855339) (itemV1Vwk,0.0002198017027694732)* (itemvjUdv,0.0002056242956314236) (itemIBbVf,0.0002049417671514675) (itemlepVl,0.0001677182299317792) (itemuaFxY,0.00015281717060133815) (item7XnWI,0.00013753838720731437)
userwXazR: (itemcVs96,0.0005484460853040218) (itembHmsT,0.00036671728594228625) (itemmbGoj,0.0003534659626893699) (itemIBbVf,0.0003256802447140217) (itemLDh7R,0.00030540398438461125)* (itemBkBCG,0.00030355644412338734) (itemSEVUh,0.000299806531984359)* (itemXxPjl,0.00028871349059045315) (item0VuxA,0.0002875964855775237) (itemy6Af3,0.00027713694726116955) (iteme5OvS,0.00025022265617735684) (itemCVpf3,0.00022669299505650997) (item0MxmA,0.00022341019939631224) (item9muy9,0.00022269823239184916)* (itemcAUzH,0.00022243599232751876) (item7XnWI,0.00021693881717510521) (itemQkv6a,0.00021546588686760515) (itemFzVAJ,0.00019796758715528995) (itemdkR3x,0.00019566019182093441) (itemzfaal,0.00016866001533344388)
userfJqUh: (itemuaFxY,0.0005271494737826288) (itemcVs96,0.000438870454672724) (itemN8AZu,0.0003711864701472223) (itemYgdNj,0.0003125778748653829)* (itemwinns,0.00030765729025006294) (itemdqVVX,0.00028403830947354436) (itemd7GN3,0.0002813523169606924) (itemjeN5W,0.0002621908497530967) (itemdkR3x,0.0002501039707567543)* (itemPn5yf,0.00024290978035423905) (items32yz,0.00023432218586094677) (item64Mnl,0.000214238534681499) (itemTAGOA,0.00021079625003039837) (itemFsCNW,0.00019660637190099806) (itemVda4U,0.00019023590721189976) (itemeROTS,0.00018674982129596174)* (itemDF5f3,0.00017150877101812512)* (itemUFxkv,0.0001703222224023193) (itemEwdGW,0.00015511653327848762) (itemV1Vwk,0.0001550056622363627)
userU5xwu: (item03CQ6,0.000313466734951362) (itemFsCNW,0.0002882115077227354)* (itemYOYte,0.00026808594702742994) (itemuaFxY,0.00026220144354738295) (itemr1zoc,0.00024345061683561653) (itemPOi9Y,0.00020943552954122424) (itemr7q87,0.00020730624964926392) (itemBkBCG,0.0001973817852558568) (itemcAUzH,0.00018556334543973207) (itemeROTS,0.00016812796820886433)* (itemva2ph,0.00015401214477606118) (itemEQ5kD,0.0001532640599180013)* (item6hTeJ,0.00014826349797658622)* (itemyWo9i,0.0001336740533588454) (itemMNxUT,0.00011653143155854195)* (itemEZob3,0.00011008355068042874) (itemIrWce,0.00010722759179770947)* (itemexwfY,0.00010614163329591975) (itemRNQTR,9.440939174965024e-05) (itempLAQY,9.259262151317671e-05)*
userjOfN6: (itemVZJC8,0.0006292018806561828) (itemMpeEL,0.0006089675589464605) (itemYgdNj,0.0005667861551046371) (itemsF3jV,0.000450681836809963) (itemZIbqG,0.000364392384653911)* (itemY6045,0.00036024535074830055) (item23scr,0.0003491420648060739)* (itemWeaex,0.00034144631354138255)* (itemAj7Pj,0.00032238889252766967) (itemh9nHh,0.0003019561117980629) (itemSnsYW,0.00028025166830047965)* (itemGAqYy,0.00027035223320126534) (itemBuZOt,0.0002341594226891175) (itemRy5SF,0.000220246467506513) (item96Uu6,0.00019980871002189815) (itemcWumf,0.00017404838581569493)* (itemBmrIx,0.00012215094466228038) (itemllUul,9.868207416730002e-05) (itemUiRdE,9.386142482981086e-05) (itemf6vR5,8.9056215074379e-05)
userrvaBl: (itemAlGQe,0.00036269857082515955)* (item64Mnl,0.0003579500480554998) (itemdoXAn,0.0003291040484327823) (itemdC6Wf,0.0003124744980596006)* (itemWeaex,0.0002950996858999133) (item1PK0V,0.0002786736295092851) (item9M3lc,0.000278603401966393) (itemMNxUT,0.0002672718255780637) (item0rrNz,0.0002587008639238775) (itemJyBn3,0.0002584871253930032) (itemxbm5F,0.00025786535115912557)* (itemSrPKx,0.0002437751245452091)* (itemwinns,0.00024183971981983632) (itemUFxkv,0.00023859641805756837) (itemvHkzH,0.000223783019464463) (itemzexIV,0.00021840137196704745) (itemCVpf3,0.000212883111089468)* (itemkHjKP,0.00020375667372718453) (itemlHCkK,0.00018619420006871223) (item9lgJn,0.00016932969447225332)
